"name","weg","age_of_death","smoothie"
"Boots 188952","Rzodkiew",83,"FALSE"
"Ursula 156277","Cukier trzcinowy",74,"TRUE"
"Wolverine 87007","Groch czarnooki",85,"TRUE"
"Sandy Cheeks 20436","Fasola żuraw",85,"TRUE"
"Elvis Presley 107035","Orzech wodny",79,"FALSE"
"Myszka Miki 95935","Wodna cress",75,"FALSE"
"Shuri 18215","Karczoch",88,"TRUE"
"Alicja z Krainy Czarów 162582","Papryka",83,"TRUE"
"Fryderyk Chopin 7599","Kiełki fasoli",53,"TRUE"
"Jafar 117773","Taro",69,"TRUE"
"Boots 94637","Pędy groszku",77,"FALSE"
"Tweety 134422","Brukselka",70,"FALSE"
"Lara Croft 169135","Rabarbar",66,"TRUE"
"Ariel 56192","Zucchini",88,"FALSE"
"Victor Von Doom 120158","Rzodkiew daikon",53,"FALSE"
"Jessica Jones 146361","Seler korzeniowy",60,"FALSE"
"Cezary Pazura 70936","Kard",88,"FALSE"
"Falcon 146099","Papryka zielona",84,"FALSE"
"Mystique 55608","Jarmuż",73,"FALSE"
"The Punisher 196427","Mâche",89,"TRUE"
"Jar Jar Binks 124220","Małe marchewki",67,"FALSE"
"Tupac Shakur 152552","Rabarbar",67,"TRUE"
"Sven 127528","Sól morska",54,"TRUE"
"Sandy Cheeks 38130","Banan",81,"FALSE"
"Psylocke 91066","Melon",100,"TRUE"
"Notorious B.I.G. 178808","Seler",77,"FALSE"
"Boots 116121","Kalarepa",103,"FALSE"
"Helena 114501","Kard",70,"FALSE"
"Juggernaut 128217","Jabłko",83,"TRUE"
"Jessica Jones 189321","Rzodkiew",66,"TRUE"
"Babcia Ela 135486","Pędy bambusa",66,"FALSE"
"Królewna Śnieżka 71218","Papryka żółta",75,"FALSE"
"Charlie Chaplin 42773","Pędy groszku",81,"FALSE"
"Barack Obama 98743","Pietruszka",77,"TRUE"
"Superman 41643","Pasternak",49,"FALSE"
"Sauron 109847","Mâche",48,"TRUE"
"Boots 101415","Karczoch",84,"TRUE"
"Jean Grey 160015","Cress",63,"TRUE"
"Chewbacca 121778","Pomidor",66,"TRUE"
"Sauron 168782","Kukurydza",98,"FALSE"
"Phoenix 2808","Mniszek lekarski",114,"FALSE"
"Charlie Chaplin 90120","Fasola gołębia",97,"TRUE"
"Król Julian 69100","Cebula dymka",63,"FALSE"
"Baron Zemo 152773","Kard",56,"FALSE"
"Galactus 26468","Kale",89,"TRUE"
"Myszka Miki 170629","Chińska kapusta",92,"FALSE"
"Nightcrawler 111335","Karczoch",72,"FALSE"
"Hades 49769","Cukinia",79,"TRUE"
"Okoye 92383","Papryka",77,"FALSE"
"Xavier 165691","Papryka żółta",60,"TRUE"
"Sylvester 153578","Rukiew wodna",81,"FALSE"
"Human Torch 75359","Kapusta",67,"FALSE"
"Thanos 148514","Tymianek",98,"TRUE"
"Juliusz Słowacki 17227","Sól morska",69,"FALSE"
"Nightcrawler 84200","Koper",84,"FALSE"
"Fryderyk Chopin 151867","Kapusta napa",81,"FALSE"
"Marta Żmuda-Trzebiatowska 135219","Seler korzeniowy",68,"TRUE"
"Drax 111378","Melon",81,"FALSE"
"Nightcrawler 97367","Fasola mung",73,"TRUE"
"Apocalypse 40671","Sól morska",60,"FALSE"
"Juliusz Słowacki 101619","Jicama",90,"TRUE"
"Galactus 134221","Trawa cytrynowa",64,"FALSE"
"Rogue 188006","Brokuł",98,"FALSE"
"Po 101542","Endywia belgijska",72,"TRUE"
"Cyclops 192280","Lufa",78,"TRUE"
"She-Hulk 122192","Ogórek melona",66,"TRUE"
"Silver Surfer 148995","Papryka czerwona",59,"TRUE"
"Aragorn 134843","Fasola zwykła",86,"TRUE"
"Elsa 11231","Bataty",89,"TRUE"
"Tom and Jerry 113620","Kalafior",87,"TRUE"
"Dora the Explorer 187246","Pietruszka",89,"TRUE"
"Xavier 154097","Groch czarnooki",65,"TRUE"
"Xavier 16762","Sól morska",92,"TRUE"
"Mufasa 58787","Cykoria",83,"TRUE"
"Luke Cage 121645","Kapusta musztardowa",69,"TRUE"
"Wolverine 169462","Rzodkiew daikon",66,"FALSE"
"Robert Lewandowski 106954","Szparagi",99,"TRUE"
"Tinky Winky 99701","Melon",64,"TRUE"
"Taskmaster 140061","Jarmuż",76,"FALSE"
"Groot 109796","Chayote",73,"TRUE"
"The Thing 78604","Ogórek melona",99,"FALSE"
"Peter Pan 92676","Rzodkiew",84,"FALSE"
"Diego 172469","Radicchio",64,"TRUE"
"Hades 63224","Fasola żuraw",80,"FALSE"
"Genie 195762","Cress",71,"FALSE"
"Valeria Richards 114677","Lufa",80,"TRUE"
"Sylvester 484","Fasola adzuki",77,"FALSE"
"Cyclops 157868","Arbuz",75,"FALSE"
"Robin Hood 125402","Korzeń taro",50,"FALSE"
"Shrek 161270","Rabarbar",69,"FALSE"
"Stan Laurel 39323","Korzeń lotosu",62,"FALSE"
"Apocalypse 152270","Kiełki fasoli",69,"TRUE"
"Blues Clues 191343","Rukola",89,"FALSE"
"Tweety 105055","Fasola mung",57,"FALSE"
"War Machine 84537","Pędy groszku",45,"TRUE"
"Joker 9009","Papryka zielona",95,"FALSE"
"DarekTakiTam 5034","Burak liściowy",59,"FALSE"
"Notorious B.I.G. 28362","Chayote",70,"FALSE"
"Squidward Tentacles 155129","Ziemniak",88,"TRUE"
"Czerwony Kapturek 170538","Małe marchewki",72,"TRUE"
"Rogue 126958","Portulaka",78,"FALSE"
"Baron Zemo 166690","Bakłażan",89,"TRUE"
"Gandalf 172561","Sorrel",83,"FALSE"
"Nick Fury 179186","Taro",69,"TRUE"
"Winnie the Pooh 173228","Fenkuł",69,"TRUE"
"Po 115192","Papryczka chili",73,"TRUE"
"Gamora 152964","Sałata rzymska",93,"FALSE"
"Swiper 131256","Jabłko",64,"TRUE"
"Bruce Lee 180495","Papryka żółta",77,"TRUE"
"Madonna 79816","Orzech wodny",98,"FALSE"
"Harry Potter 146582","Portulaka",68,"FALSE"
"Simba 66518","Arbuz",66,"FALSE"
"Struś Pędziwiatr 27470","Fasola mung",56,"TRUE"
"Ariel 160595","Burak liściowy",76,"TRUE"
"Thor 132036","Pasternak",84,"FALSE"
"Jar Jar Binks 82495","Tymianek",67,"FALSE"
"Mr. Fantastic 112050","Grzyb",88,"FALSE"
"Leia Organa 61399","Rukiew wodna",91,"FALSE"
"Scar 62216","Papryczka chili",87,"FALSE"
"Invisible Woman 52072","Rzodkiew daikon",84,"FALSE"
"Mickey Mouse 53691","Fasola haricot vert",75,"FALSE"
"Laa-Laa 78187","Fasola żuraw",82,"FALSE"
"Helena 68255","Małe marchewki",89,"TRUE"
"R2-D2 179737","Tymianek",77,"FALSE"
"Shrek 165620","Fasola zwykła",83,"TRUE"
"Hercules 70576","Mâche",89,"TRUE"
"Jafar 143770","Rukola",56,"FALSE"
"Blade 136792","Cukier trzcinowy",68,"FALSE"
"Wasp 79237","Kolendra",59,"TRUE"
"Walt Disney 84952","Fasola adzuki",93,"TRUE"
"Kang the Conqueror 127018","Kapusta",89,"TRUE"
"Howard the Duck 33524","Fasola żuraw",75,"FALSE"
"Gamora 87926","Grzyb",73,"TRUE"
"Struś Pędziwiatr 191059","Banan",29,"FALSE"
"Myszka Miki 67202","Burak liściowy",88,"FALSE"
"Superman 40492","Imbir",75,"FALSE"
"Dora the Explorer 180899","Małe marchewki",80,"TRUE"
"Robin Hood 58092","Korzeń taro",94,"TRUE"
"Luke Cage 45480","Słodka kukurydza",57,"FALSE"
"Pablo Escabar 102378","Cukinia",68,"FALSE"
"Erik Killmonger 17176","Trawa cytrynowa",64,"TRUE"
"Moana 24688","Fasola żuraw",78,"TRUE"
"Marta Żmuda-Trzebiatowska 167864","Burak",90,"TRUE"
"Hades 134111","Portulaka",62,"FALSE"
"Baron Zemo 123388","Pomidor",81,"TRUE"
"Barack Obama 20140","Taro",98,"FALSE"
"Luke Skywalker 111370","Żółta cukinia",95,"TRUE"
"Notorious B.I.G. 173197","Fasola zwykła",73,"FALSE"
"Asterix 41951","Pędy bambusa",78,"FALSE"
"Helena 105253","Kapusta napa",75,"FALSE"
"Sabretooth 102255","Sól morska",86,"FALSE"
"Dipsy 51051","Wodna cress",80,"TRUE"
"Walt Disney 85631","Radicchio",77,"TRUE"
"Vision 198836","Liście mniszka",80,"FALSE"
"Aragorn 2292","Por",71,"TRUE"
"Doctor Strange 108338","Rabarbar",62,"FALSE"
"Mufasa 193936","Liście mniszka",97,"FALSE"
"Drax 50476","Szparagi",65,"TRUE"
"Star-Lord 87587","Endywia",68,"FALSE"
"Ariel 9841","Papryczka chili",91,"FALSE"
"Rapunzel 40526","Rzodkiew",71,"TRUE"
"Maria 142472","Fasola mung",79,"FALSE"
"Quicksilver 99306","Tymianek",78,"FALSE"
"Stan Laurel 79057","Kard",93,"FALSE"
"Dora the Explorer 96876","Wodna cress",87,"FALSE"
"SpongeBob SquarePants 68627","Rukola",83,"FALSE"
"Winter Soldier 41708","Pasternak",51,"TRUE"
"Kuba Wojewódzki 155676","Bakłażan",80,"TRUE"
"Papa Smerf 35694","Pomidor",89,"FALSE"
"Quicksilver 185498","Marchew",91,"FALSE"
"Hades 171675","Papryka żółta",80,"TRUE"
"Shuri 175067","Szczypiorek",66,"FALSE"
"Ultron 6907","Kalarepa",79,"FALSE"
"Erik Killmonger 168830","Karczoch",57,"FALSE"
"Ursula 88490","Pietruszka",92,"TRUE"
"Bugs Bunny 50048","Wodna cress",68,"TRUE"
"Po 956","Pomidor",80,"FALSE"
"Diego 101806","Cykoria",65,"TRUE"
"Struś Pędziwiatr 57116","Sałata",58,"FALSE"
"Sven 128502","Kard",77,"FALSE"
"R2-D2 61753","Pasternak",96,"TRUE"
"Helena 182177","Mniszek lekarski",84,"FALSE"
"She-Hulk 3512","Fasolka szparagowa",79,"TRUE"
"Hawkeye 116588","Fasola zwykła",79,"TRUE"
"Phoenix 94547","Koper włoski",83,"TRUE"
"Charlie Chaplin 198724","Wodna cress",82,"FALSE"
"Daffy Duck 120607","Fasola żuraw",104,"TRUE"
"Gamora 159815","Ogórek melona",89,"FALSE"
"Stan Laurel 145253","Fenkuł",75,"FALSE"
"Doctor Doom 4951","Rzepak",97,"FALSE"
"Chuckie Finster 8314","Kukurydza",57,"FALSE"
"Babcia Ela 164617","Bataty",88,"TRUE"
"Howard the Duck 152194","Brukselka",76,"TRUE"
"The Vision 138625","Groch czarnooki",80,"TRUE"
"Po 46610","Zucchini",91,"FALSE"
"War Machine 37341","Endywia belgijska",84,"TRUE"
"Gollum 59927","Bataty",58,"FALSE"
"Jean Grey 136722","Kapusta napa",70,"TRUE"
"Xavier 56668","Fasola adzuki",47,"FALSE"
"Storm 181805","Rabarbar",63,"FALSE"
"Zeus 148907","Korzeń taro",78,"TRUE"
"Adam Mickiewicz 10548","Kalafior",84,"TRUE"
"Pablo Escabar 45204","Trawa cytrynowa",91,"FALSE"
"Kuba Wojewódzki 176839","Liście mniszka",89,"TRUE"
"Mufasa 181147","Sorrel",56,"FALSE"
"Quicksilver 78030","Ziemniak",39,"FALSE"
"Nick Fury 152990","Ogórek melona",82,"TRUE"
"Kubuś Puchatek 127339","Karczoch",70,"FALSE"
"Scarlet Witch 120970","Pomidor",68,"FALSE"
"Tom and Jerry 145094","Rukiew wodna",64,"FALSE"
"Alicja z Krainy Czarów 101116","Pasternak",89,"TRUE"
"Mickey Mouse 196388","Fasola zwykła",51,"TRUE"
"Han Solo 3882","Burak liściowy",79,"FALSE"
"Indiana Jones 59277","Melon",56,"TRUE"
"Luke Skywalker 112763","Kapusta musztardowa",85,"TRUE"
"Gamora 44128","Kalarepa",56,"FALSE"
"Magenta 97748","Chrzan",45,"FALSE"
"Kuba Wojewódzki 35295","Fasola Lima",63,"FALSE"
"SpongeBob SquarePants 158065","Pędy groszku",97,"TRUE"
"Hulk 63127","Brzoskwinia",84,"TRUE"
"Oliver Hardy 16498","Dynia kabocha",55,"FALSE"
"Victor Von Doom 106025","Fasolka szparagowa",67,"TRUE"
"Doctor Strange 129501","Kolendra",100,"FALSE"
"Shuri 11481","Papryka czerwona",52,"TRUE"
"Yoda 167550","Jabłko",70,"TRUE"
"Bob Budowniczy 8625","Lufa",44,"TRUE"
"Ariel 151403","Arbuz",85,"FALSE"
"Luke Skywalker 11192","Mâche",63,"TRUE"
"Rogue 126126","Rukiew wodna",74,"FALSE"
"Winter Soldier 82124","Pomidor",61,"TRUE"
"Goofy 62796","Kukurydza",32,"TRUE"
"Dora the Explorer 117281","Marchew",83,"TRUE"
"Laa-Laa 151150","Koper",62,"FALSE"
"Magenta 56313","Rukiew wodna",75,"TRUE"
"Snoop Dogg 167875","Kapusta napa",84,"FALSE"
"Professor X 118186","Marchew",82,"TRUE"
"Jasmine 87718","Fasola żuraw",77,"TRUE"
"Mickey Mouse 4311","Kiełki fasoli",72,"TRUE"
"BB-8 176754","Kapusta musztardowa",66,"TRUE"
"Eminem 90309","Sałata rzymska",59,"TRUE"
"Pablo Escabar 135692","Cebula dymka",89,"TRUE"
"Spiderman 4970","Portulaka",66,"TRUE"
"Invisible Woman 190913","Imbir",75,"FALSE"
"James Bond 53492","Jarmuż",90,"TRUE"
"Scarlet Witch 63154","Ogórek",84,"TRUE"
"Pablo Escabar 170868","Rukiew wodna",86,"FALSE"
"Mufasa 92337","Tymianek",76,"FALSE"
"Howard the Duck 125456","Ziemniak",40,"FALSE"
"Barack Obama 78431","Fasola gołębia",77,"TRUE"
"Black Widow 176814","Kapusta musztardowa",76,"FALSE"
"Ultron 43693","Fasola zwykła",69,"TRUE"
"Bugs Bunny 71338","Brzoskwinia",79,"TRUE"
"Howard the Duck 144887","Żółta cukinia",58,"FALSE"
"Patrick Star 193421","Jabłko",86,"FALSE"
"Chewbacca 104169","Jabłko",95,"FALSE"
"Cable 28974","Papryczka chili",79,"TRUE"
"Deadpool 20975","Czosnek",57,"FALSE"
"Myszka Miki 166567","Brokuł",87,"FALSE"
"Sherlock Holmes 161447","Fasolka szparagowa",84,"TRUE"
"Gollum 106492","Sałata",87,"FALSE"
"Kristoff 12721","Kapusta",61,"FALSE"
"Thanos 158163","Kukurydza",85,"FALSE"
"Cezary Pazura 34879","Kale",73,"FALSE"
"Psylocke 35210","Seler korzeniowy",68,"FALSE"
"Galactus 113418","Papryczka chili",86,"FALSE"
"Boots 106952","Jabłko",62,"TRUE"
"Sandy Cheeks 109486","Zucchini",93,"FALSE"
"Hades 56875","Pasternak",105,"TRUE"
"Gandalf 137670","Papryka czerwona",71,"FALSE"
"Superman 168042","Chrzan",86,"TRUE"
"Okoye 199463","Fasola gołębia",70,"FALSE"
"Legolas 166051","Czosnek",73,"TRUE"
"Skeeter Valentine 129027","Sorrel",75,"TRUE"
"Aragorn 5034","Rukiew wodna",96,"FALSE"
"Robert Lewandowski 162523","Trawa cytrynowa",83,"FALSE"
"Baron Zemo 112309","Fasola gołębia",74,"FALSE"
"Marta Żmuda-Trzebiatowska 117933","Pędy bambusa",86,"FALSE"
"Jean Grey 50407","Cebula dymka",61,"TRUE"
"The Thing 101397","Arbuz",87,"FALSE"
"Ursula 45573","Korzeń lotosu",97,"FALSE"
"Iron Fist 68890","Papryka żółta",69,"FALSE"
"Gamora 38830","Papryka zielona",79,"TRUE"
"Myszka Miki 111984","Słodka kukurydza",58,"TRUE"
"Apocalypse 12325","Fasola adzuki",78,"TRUE"
"Drax 102450","Seler",67,"FALSE"
"The Vision 47775","Rzodkiew daikon",83,"TRUE"
"Ursula 144980","Seler",70,"TRUE"
"Phoenix 36713","Papryczka chili",73,"FALSE"
"Snoop Dogg 135486","Papryka żółta",67,"FALSE"
"Aladyn 175049","Jicama",40,"TRUE"
"Tupac Shakur 177071","Cykoria",79,"FALSE"
"Shrek 158664","Fasola mung",78,"FALSE"
"Gandalf 72205","Burak",67,"FALSE"
"Hercules 151100","Melon",75,"FALSE"
"Obelix 154922","Kalarepa",78,"FALSE"
"Mickey Mouse 71890","Fasola gołębia",68,"TRUE"
"Bilbo Baggins 122122","Fasola żuraw",88,"FALSE"
"Lara Croft 102825","Ogórek",55,"TRUE"
"Ant-Man 98094","Czosnek",76,"FALSE"
"Cyclops 53458","Rzodkiew daikon",69,"FALSE"
"Juggernaut 91696","Pędy bambusa",78,"TRUE"
"Falcon 66914","Kukurydza",53,"FALSE"
"Legolas 66284","Mâche",72,"FALSE"
"Taskmaster 100331","Kiełki fasoli",92,"TRUE"
"Goofy 168957","Fasola haricot vert",102,"FALSE"
"BB-8 91654","Jicama",66,"FALSE"
"Vision 38958","Papryka żółta",85,"TRUE"
"Bishop 90461","Wodna cress",65,"FALSE"
"She-Hulk 193765","Brokuł",88,"TRUE"
"Shuri 164061","Fasola mung",72,"FALSE"
"Howard the Duck 145905","Małe marchewki",54,"TRUE"
"Tommy Pickles 84674","Kale",90,"TRUE"
"Squidward Tentacles 93221","Endywia",52,"FALSE"
"Eminem 4627","Chayote",86,"FALSE"
"Star-Lord 82382","Brzoskwinia",89,"FALSE"
"Human Torch 88688","Ogórek",88,"TRUE"
"Xavier 184441","Korzeń lotosu",61,"TRUE"
"Sandy Cheeks 96190","Taro",83,"FALSE"
"Asterix 80334","Fenkuł",104,"TRUE"
"Drake 118123","Chrzan",93,"TRUE"
"DarekTakiTam 168890","Chińska kapusta",71,"TRUE"
"Joe 17458","Koper",87,"TRUE"
"Hawkeye 69156","Papryka zielona",92,"FALSE"
"Iron Man 39573","Melon",70,"FALSE"
"Fryderyk Chopin 46626","Pietruszka",96,"TRUE"
"Domino 50654","Kolendra",90,"TRUE"
"Valeria Richards 75205","Żółta cukinia",62,"TRUE"
"Nick Fury 61267","Fasola mung",84,"FALSE"
"Genie 98727","Cukinia",73,"TRUE"
"Oliver Hardy 115433","Kolendra",63,"FALSE"
"Kubuś Puchatek 31217","Brokuł",49,"TRUE"
"Valeria Richards 150452","Fasola Lima",100,"FALSE"
"The Thing 163398","Cress",92,"FALSE"
"Spiderman 87565","Cykoria",72,"TRUE"
"War Machine 1151","Wodna cress",68,"TRUE"
"Genie 103944","Wodna cress",73,"TRUE"
"Anna 30131","Grzyb",66,"FALSE"
"Patrick Star 118265","Fasolka szparagowa",60,"TRUE"
"Hulk 1396","Sałata rzymska",79,"FALSE"
"Yoda 53188","Papryka czerwona",88,"TRUE"
"Johnny Depp 74046","Brukselka",71,"TRUE"
"Mr. Krabs 84845","Brukselka",64,"TRUE"
"Iron Fist 140486","Fasola żuraw",61,"TRUE"
"Angelica Pickles 197891","Chrzan",79,"TRUE"
"Star-Lord 100826","Ziemniak",86,"TRUE"
"Rogue 39861","Liście mniszka",99,"TRUE"
"Darth Vader 138745","Taro",81,"TRUE"
"Notorious B.I.G. 61462","Kolendra",52,"TRUE"
"Marta Żmuda-Trzebiatowska 129814","Fasola adzuki",68,"FALSE"
"Superman 159683","Koper włoski",75,"FALSE"
"Simba 71465","Jicama",79,"FALSE"
"Psylocke 67411","Cykoria",71,"TRUE"
"Sauron 3202","Banan",59,"FALSE"
"Cable 9892","Grzyb",82,"FALSE"
"Taskmaster 171043","Pędy bambusa",72,"TRUE"
"Professor X 190914","Brokuł",72,"TRUE"
"Ursula 68244","Żółta cukinia",88,"FALSE"
"Bilbo Baggins 65733","Ziemniak",83,"TRUE"
"Erik Killmonger 66006","Groch cukrowy",63,"FALSE"
"Gandalf 18278","Pomidor",79,"TRUE"
"Jafar 100886","Sól morska",74,"TRUE"
"Psylocke 148268","Rzepak",101,"TRUE"
"Fryderyk Chopin 196266","Kapusta napa",82,"FALSE"
"Bob Budowniczy 95520","Ogórek melona",77,"TRUE"
"Batman 85734","Słodka kukurydza",79,"FALSE"
"Leonardo da Vinci 148895","Fasola Lima",78,"TRUE"
"Robin Hood 23418","Fasola adzuki",92,"TRUE"
"Dipsy 26459","Kukurydza",70,"FALSE"
"Joker 128707","Arbuz",75,"TRUE"
"Laa-Laa 87897","Trawa cytrynowa",95,"FALSE"
"Doug Funnie 45840","Groch czarnooki",106,"FALSE"
"Groot 42572","Grzyb",98,"TRUE"
"Daffy Duck 85547","Kapusta",76,"FALSE"
"Sabretooth 92176","Kukurydza",97,"TRUE"
"Nightcrawler 93957","Bataty",86,"TRUE"
"Thanos 151434","Rzepak",73,"FALSE"
"Kristoff 68410","Jabłko",76,"TRUE"
"Kang the Conqueror 163911","Seler",85,"TRUE"
"Bugs Bunny 74798","Pomidor",63,"TRUE"
"Sven 116525","Korzeń taro",52,"TRUE"
"Victor Von Doom 811","Ogórek melona",52,"TRUE"
"Ursula 89915","Cebula",79,"TRUE"
"War Machine 105828","Kapusta musztardowa",97,"TRUE"
"She-Hulk 75649","Szpinak",71,"FALSE"
"Spiderman 176723","Chayote",68,"TRUE"
"Snoop Dogg 59685","Chayote",83,"FALSE"
"Patrick Star 11719","Bazylia tajska",89,"TRUE"
"Luke Cage 80279","Lufa",86,"FALSE"
"Goofy 109824","Radicchio",70,"FALSE"
"War Machine 127969","Koper włoski",93,"TRUE"
"Sabretooth 117733","Żółta cukinia",56,"FALSE"
"Oliver Hardy 164367","Szparagi",61,"TRUE"
"Stan Laurel 31940","Dynia kabocha",67,"TRUE"
"Okoye 17816","Fasola mung",88,"TRUE"
"Hercules 28011","Grzyb",85,"FALSE"
"Kristoff 187770","Bataty",95,"FALSE"
"Wasp 6713","Kapusta napa",83,"FALSE"
"Gamora 59622","Koper włoski",77,"FALSE"
"Bugs Bunny 130274","Rukiew wodna",67,"TRUE"
"Chewbacca 95684","Burak liściowy",101,"TRUE"
"Phoenix 122944","Dynia kabocha",60,"TRUE"
"Joe 195989","Sól morska",89,"TRUE"
"Luke Skywalker 81574","Sałata",67,"TRUE"
"Shuri 67191","Kapusta napa",90,"TRUE"
"Rapunzel 166456","Fasola gołębia",80,"FALSE"
"Stan Laurel 125416","Fenkuł",61,"TRUE"
"Thor 190682","Bakłażan",84,"TRUE"
"Doctor Doom 46643","Fasola adzuki",69,"FALSE"
"Rogue 56634","Rukola",80,"TRUE"
"Tommy Pickles 44378","Papryka żółta",70,"FALSE"
"Marilyn Monroe 54173","Cukinia",61,"FALSE"
"Bob Budowniczy 122898","Kard",67,"FALSE"
"Moana 79418","Karczoch",67,"TRUE"
"Galactus 8037","Rzodkiew daikon",43,"FALSE"
"Chewbacca 98494","Sorrel",86,"TRUE"
"Pablo Escabar 105431","Cukinia",91,"TRUE"
"Scarlet Witch 178778","Groch czarnooki",69,"TRUE"
"Victor Von Doom 143567","Jabłko",83,"TRUE"
"Ariel 120584","Karczoch",71,"FALSE"
"Omega Red 135687","Fasola żuraw",72,"FALSE"
"Babcia Ela 75005","Arbuz",88,"FALSE"
"Hades 171250","Rukola",81,"TRUE"
"Stan Laurel 8750","Rzodkiew daikon",91,"FALSE"
"Quicksilver 45245","Rukiew wodna",79,"TRUE"
"Beast 45893","Lufa",70,"FALSE"
"Kermit the Frog 194278","Ziemniak",86,"FALSE"
"Dipsy 38425","Jicama",90,"FALSE"
"Notorious B.I.G. 111982","Szparagi",72,"TRUE"
"Doctor Doom 132832","Rabarbar",86,"FALSE"
"Kang the Conqueror 148528","Koper",81,"FALSE"
"Ursula 121777","Szparagi",93,"FALSE"
"Walt Disney 196566","Kale",93,"TRUE"
"Simba 161229","Brokuł",93,"FALSE"
"Vision 45734","Lufa",103,"FALSE"
"Ant-Man 198917","Bazylia tajska",80,"FALSE"
"Superman 132468","Imbir",75,"FALSE"
"Nightcrawler 199154","Pietruszka",91,"TRUE"
"Tinky Winky 7569","Papryka czerwona",66,"TRUE"
"Luke Cage 170255","Wodna cress",77,"TRUE"
"Superman 131647","Fasolka szparagowa",80,"FALSE"
"Blade 116323","Cukier trzcinowy",88,"TRUE"
"Marilyn Monroe 195976","Burak",72,"FALSE"
"Bishop 21234","Pędy bambusa",64,"TRUE"
"Indiana Jones 172955","Kapusta napa",74,"TRUE"
"Mr. Fantastic 197190","Kapusta musztardowa",67,"TRUE"
"Star-Lord 161268","Brokuł",91,"FALSE"
"Hercules 135631","Ziemniak",70,"FALSE"
"DarekTakiTam 130322","Fasola gołębia",52,"FALSE"
"Jessica Jones 27449","Pietruszka",58,"TRUE"
"Myszka Miki 185609","Szczypiorek",102,"TRUE"
"Nick Fury 111104","Żółta cukinia",85,"FALSE"
"James Bond 143279","Groch czarnooki",77,"FALSE"
"Harry Potter 85017","Rabarbar",81,"TRUE"
"Han Solo 155672","Rabarbar",88,"TRUE"
"Swiper 51038","Jarmuż",73,"FALSE"
"Mickey Mouse 175538","Sorrel",83,"FALSE"
"She-Hulk 43873","Tymianek",72,"TRUE"
"Scarlet Witch 152202","Słodka kukurydza",75,"TRUE"
"Po 12695","Burak",104,"TRUE"
"Obelix 1648","Mâche",78,"FALSE"
"Batman 167523","Arbuz",64,"TRUE"
"The Punisher 4748","Fasola Lima",57,"TRUE"
"Hulk 12221","Pędy bambusa",60,"TRUE"
"Elvis Presley 119266","Brukselka",53,"FALSE"
"Joe 104348","Kalarepa",98,"TRUE"
"Elsa 185612","Kalarepa",72,"TRUE"
"Thor 139794","Portulaka",89,"TRUE"
"Leonardo da Vinci 19349","Marchew",81,"FALSE"
"Tupac Shakur 30509","Fasola adzuki",72,"FALSE"
"Winnie the Pooh 34226","Ogórek",86,"FALSE"
"Eminem 78586","Jicama",76,"TRUE"
"Victor Von Doom 97904","Liście mniszka",77,"FALSE"
"Barack Obama 135513","Bazylia tajska",104,"FALSE"
"Koziołek Matołek 107738","Trawa cytrynowa",78,"TRUE"
"Frodo Baggins 114485","Szparagi",75,"FALSE"
"Kang the Conqueror 280","Ogórek",76,"FALSE"
"Czerwony Kapturek 159530","Cukinia",72,"TRUE"
"Domino 185413","Kolendra",66,"FALSE"
"Wolverine 110726","Fasola mung",97,"TRUE"
"Babcia Ela 177777","Brukselka",88,"FALSE"
"Tupac Shakur 82858","Dynia kabocha",84,"TRUE"
"Jafar 2874","Fasolka szparagowa",70,"FALSE"
"Franklin Richards 78747","Bataty",63,"TRUE"
"Blade 28033","Sorrel",79,"FALSE"
"Omega Red 81867","Fasola Lima",88,"FALSE"
"Zeus 38127","Rukola",108,"FALSE"
"Blues Clues 184539","Seler",79,"TRUE"
"Papa Smerf 171173","Endywia belgijska",66,"TRUE"
"Magneto 77365","Burak liściowy",71,"FALSE"
"Bilbo Baggins 180152","Cukier trzcinowy",56,"FALSE"
"Tupac Shakur 163908","Liście mniszka",62,"FALSE"
"Olaf 198591","Ogórek",81,"TRUE"
"Hulk 181285","Mâche",84,"TRUE"
"DarekTakiTam 144074","Szczypiorek",75,"FALSE"
"Apocalypse 53356","Rukola",104,"TRUE"
"Tweety 140588","Cykoria",83,"TRUE"
"James Bond 74460","Rzodkiew daikon",78,"FALSE"
"Robert Lewandowski 112022","Cukinia",82,"FALSE"
"Thor 139806","Por",91,"TRUE"
"Maria 32325","Chińska kapusta",81,"FALSE"
"Genie 198701","Koper włoski",86,"FALSE"
"Phoenix 144299","Kukurydza",69,"TRUE"
"Tinky Winky 113893","Cykoria",60,"TRUE"
"Anna 127483","Fasola gołębia",105,"TRUE"
"Jessica Jones 74797","Kiełki fasoli",78,"TRUE"
"Star-Lord 34551","Endywia",77,"FALSE"
"Squidward Tentacles 24055","Zucchini",69,"TRUE"
"Babcia Ela 15454","Chayote",82,"TRUE"
"Bruce Lee 148793","Papryczka chili",67,"TRUE"
"Snoop Dogg 14179","Fasola Lima",88,"FALSE"
"Human Torch 127118","Korzeń lotosu",70,"FALSE"
"Tinky Winky 111306","Sorrel",70,"TRUE"
"Kang the Conqueror 116668","Kalafior",60,"TRUE"
"Cable 119057","Szczypiorek",75,"FALSE"
"Dr Watson 71473","Liście mniszka",63,"FALSE"
"Vision 122272","Cykoria",75,"FALSE"
"Invisible Woman 164409","Ogórek",77,"TRUE"
